Name;BIPV;Date;T_NOCT;A_c;N_s;I_sc_ref;V_oc_ref;I_mp_ref;V_mp_ref;alpha_sc;beta_oc;a_ref;I_L_ref;I_o_ref;R_s;R_sh_ref;Adjust;gamma_r;Version;PTC;Technology;ID;heigth;width
Units;;;C;m2;;A;V;A;V;A/K;V/K;V;A;A;Ohm;Ohm;%;%/K;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Shanghai JA Solar Technology JAM6-72-265;N;3/1/2011;46.6;1.952;72;8.2;44.6;7.5;35.33;0.0041;-0.14272;1.8588;8.233;2.994E-10;0.514;128.8;13.3;-0.45;MM107;237.3;Mono-c-Si;1;1.97;0.991
Shanghai JA Solar Technology JAP6-72-265;N;3/1/2011;46.7;1.952;72;8.1;44;7.37;35.96;0.00486;-0.1452;1.9125;8.124;7.867E-10;0.324;109.02;18.8;-0.46;MM107;236.5;Multi-c-Si;2;1.97;0.991
Shanghai JA Solar Technology JAM6-72-270;N;3/1/2011;46.6;1.952;72;8.3;44.7;7.6;35.33;0.00415;-0.14304;1.8586;8.333;2.87E-10;0.522;132.61;12.8;-0.45;MM107;241.9;Mono-c-Si;3;1.97;0.991
Shanghai JA Solar Technology JAP6-72-270;N;3/1/2011;46.7;1.952;72;8.2;44;7.5;36;0.00492;-0.1452;1.9078;8.221;7.575E-10;0.315;123.35;18.3;-0.46;MM107;241.1;Multi-c-Si;4;1.97;0.991
Shanghai JA Solar Technology JAM6-72-275;N;3/1/2011;46.6;1.952;72;8.4;44.8;7.7;35.71;0.0042;-0.14336;1.8712;8.43;3.24E-10;0.47;133.5;13.8;-0.45;MM107;246.5;Mono-c-Si;5;1.97;0.991
Shanghai JA Solar Technology JAP6-72-275;N;3/1/2011;46.7;1.952;72;8.25;44.2;7.53;36.52;0.00495;-0.14586;1.9305;8.269;8.98E-10;0.258;114.83;19.9;-0.46;MM107;245.7;Multi-c-Si;6;1.97;0.991
Shanghai JA Solar Technology JAM6-72-280;N;3/1/2011;46.6;1.952;72;8.5;44.8;7.8;35.9;0.00425;-0.14336;1.8763;8.527;3.5E-10;0.436;135.02;14.4;-0.45;MM107;251.1;Mono-c-Si;7;1.97;0.991
Shanghai JA Solar Technology JAP6-72-280;N;3/1/2011;46.7;1.952;72;8.32;44.2;7.62;36.75;0.004992;-0.14586;1.9329;8.335;9.348E-10;0.221;123.82;20.2;-0.46;MM107;250.3;Multi-c-Si;8;1.97;0.991
Shanghai JA Solar Technology JAM6-72-285;N;3/1/2011;46.6;1.952;72;8.6;44.8;7.87;36.21;0.0043;-0.14336;1.8884;8.627;4.11E-10;0.384;120.62;15.8;-0.45;MM107;255.7;Mono-c-Si;9;1.97;0.991
Shanghai JA Solar Technology JAP6-72-285;N;3/1/2011;46.7;1.952;72;8.38;44.4;7.7;37.01;0.005028;-0.14652;1.9405;8.393;9.33E-10;0.207;135.35;20.1;-0.46;MM107;254.9;Multi-c-Si;10;1.97;0.991
Shanghai JA Solar Technology JAM6-72-290;N;3/1/2011;46.6;1.952;72;8.6;44.85;7.87;36.85;0.0043;-0.14352;1.9094;8.621;5.184E-10;0.294;117.74;18;-0.45;MM107;260.3;Mono-c-Si;11;1.97;0.991
Shanghai JA Solar Technology JAP6-72-290;N;3/1/2011;46.7;1.952;72;8.42;44.4;7.74;37.47;0.005052;-0.14652;1.9545;8.429;1.102E-09;0.136;133.89;21.7;-0.46;MM107;259.5;Multi-c-Si;12;1.97;0.991
Shanghai JA Solar Technology JAM6-72-295;N;3/1/2011;46.6;1.952;72;8.7;44.9;7.98;36.97;0.00435;-0.14368;1.9114;8.72;5.248E-10;0.279;124.07;18;-0.45;MM107;264.9;Mono-c-Si;13;1.97;0.991
Shanghai JA Solar Technology JAP6-72-295;N;3/1/2011;46.7;1.952;72;8.48;44.6;7.8;37.82;0.005088;-0.14718;1.9685;8.487;1.179E-09;0.109;135.16;22.3;-0.46;MM107;264.1;Multi-c-Si;14;1.97;0.991
Shanghai JA Solar Technology JAM6-72-300;N;3/1/2011;46.6;1.952;72;8.75;44.9;8.03;37.36;0.004375;-0.14368;1.9225;8.766;6.042E-10;0.221;123.26;19.3;-0.45;MM107;269.5;Mono-c-Si;15;1.97;0.991
Shanghai JA Solar Technology JAP6-72-300;N;5/22/2012;45.2;1.938;72;8.68;45.31;8.18;36.74;0.004908;-0.14893;1.8904;8.684;3.36E-10;0.368;834.91;10.8;-0.448;NRELv1;271.7;Multi-c-Si;16;1.956;0.991
Shanghai JA Solar Technology JAP6-72-305;N;5/22/2012;45.2;1.938;72;8.72;45.42;8.37;36.36;0.00493;-0.1493;1.8809;8.9;2.88E-10;0.427;758.8;9.213;-0.448;NRELv1;276.3;Multi-c-Si;17;1.956;0.991
Shanghai JA Solar Technology JAP6-72-310;N;5/22/2012;45.2;1.938;72;8.78;45.61;8.41;36.49;0.004964;-0.14992;1.8903;8.964;2.95E-10;0.429;544.91;9.374;-0.448;NRELv1;281;Multi-c-Si;18;1.956;0.991
Shanghai JA Solar Technology JAP6-72-315;N;5/22/2012;45.2;1.938;72;8.91;45.91;8.57;36.72;0.005038;-0.15091;1.898;9.092;2.83E-10;0.427;1274.87;8.876;-0.448;NRELv1;285.6;Multi-c-Si;19;1.956;0.991
